GO.ID	Term
GO:0008652	Cellular amino acid biosynthetic process
GO:0008653	Lipopolysaccharide metabolic process
GO:0008654	Phospholipid biosynthetic process
GO:0008655	Pyrimidine-containing compound salvage
GO:0008658	Penicillin binding
GO:0008659	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity
GO:0008661	1-deoxy-D-xylulose-5-phosphate synthase activity
GO:0008662	1-phosphofructokinase activity
GO:0008663	2,3-cyclic-nucleotide 2-phosphodiesterase activity
GO:0008664	2-5-RNA ligase activity
GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity
GO:0008668	(2,3-dihydroxybenzoyl)adenylate synthase activity
GO:0008670	2,4-dienoyl-CoA reductase (NADPH) activity
GO:0008673	2-dehydro-3-deoxygluconokinase activity
GO:0008675	2-dehydro-3-deoxy-phosphogluconate aldolase activity
GO:0008677	2-dehydropantoate 2-reductase activity
GO:0008678	2-deoxy-D-gluconate 3-dehydrogenase activity
GO:0008685	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate synthase activity
GO:0008691	3-hydroxybutyryl-CoA dehydrogenase activity
GO:0008693	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity
GO:0008694	3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity
GO:0008696	4-amino-4-deoxychorismate lyase activity
GO:0008697	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity
GO:0008700	4-hydroxy-2-oxoglutarate aldolase activity
GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0008705	Methionine synthase activity
GO:0008706	6-phospho-beta-glucosidase activity
GO:0008710	8-amino-7-oxononanoate synthase activity
GO:0008716	D-alanine-D-alanine ligase activity
GO:0008721	D-serine ammonia-lyase activity
GO:0008725	DNA-3-methyladenine glycosylase activity
GO:0008726	Alkanesulfonate monooxygenase activity
GO:0008728	GTP diphosphokinase activity
GO:0008733	L-arabinose isomerase activity
GO:0008734	L-aspartate oxidase activity
GO:0008740	L-rhamnose isomerase activity
GO:0008741	Ribulokinase activity
GO:0008742	L-ribulose-phosphate 4-epimerase activity
GO:0008743	L-threonine 3-dehydrogenase activity
GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
GO:0008752	FMN reductase activity
GO:0008756	o-succinylbenzoate-CoA ligase activity
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
GO:0008758	UDP-2,3-diacylglucosamine hydrolase activity
GO:0008760	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity
GO:0008761	UDP-N-acetylglucosamine 2-epimerase activity
GO:0008762	UDP-N-acetylmuramate dehydrogenase activity
GO:0008763	UDP-N-acetylmuramate-L-alanine ligase activity
GO:0008764	UDP-N-acetylmuramoylalanine-D-glutamate ligase activity
GO:0008765	UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity
GO:0008766	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity
GO:0008768	UDP-sugar diphosphatase activity
GO:0008775	Acetate CoA-transferase activity
GO:0008776	Acetate kinase activity
GO:0008777	Acetylornithine deacetylase activity
GO:0008782	Adenosylhomocysteine nucleosidase activity
GO:0008783	Agmatinase activity
GO:0008784	Alanine racemase activity
GO:0008785	Alkyl hydroperoxide reductase activity
GO:0008788	Alpha,alpha-phosphotrehalase activity
GO:0008789	Altronate dehydratase activity
GO:0008792	Arginine decarboxylase activity
GO:0008795	NAD+ synthase activity
GO:0008796	bis(5-nucleosyl)-tetraphosphatase activity
GO:0008797	Aspartate ammonia-lyase activity
GO:0008800	Beta-lactamase activity
GO:0008801	Beta-phosphoglucomutase activity
GO:0008802	Betaine-aldehyde dehydrogenase activity
GO:0008808	Cardiolipin synthase activity
GO:0008810	Cellulase activity
GO:0008817	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0008821	Crossover junction endodeoxyribonuclease activity
GO:0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0008831	dTDP-4-dehydrorhamnose reductase activity
GO:0008832	dGTPase activity
GO:0008833	Deoxyribonuclease IV (phage-T4-induced) activity
GO:0008834	Di-trans,poly-cis-decaprenylcistransferase activity
GO:0008835	Diaminohydroxyphosphoribosylaminopyrimidine deaminase activity
GO:0008836	Diaminopimelate decarboxylase activity
GO:0008837	Diaminopimelate epimerase activity
GO:0008839	4-hydroxy-tetrahydrodipicolinate reductase
GO:0008840	4-hydroxy-tetrahydrodipicolinate synthase activity
GO:0008841	Dihydrofolate synthase activity
GO:0008852	Exodeoxyribonuclease I activity
GO:0008853	Exodeoxyribonuclease III activity
GO:0008855	Exodeoxyribonuclease VII activity
GO:0008859	Exoribonuclease II activity
GO:0008863	Formate dehydrogenase (NAD+) activity
GO:0008864	Formyltetrahydrofolate deformylase activity
GO:0008865	Fructokinase activity
GO:0008867	Galactarate dehydratase activity
GO:0008872	Glucarate dehydratase activity
GO:0008873	Gluconate 2-dehydrogenase activity
GO:0008875	Gluconate dehydrogenase activity
GO:0008878	glucose-1-phosphate adenylyltransferase activity
GO:0008879	glucose-1-phosphate thymidylyltransferase activity
GO:0008880	Glucuronate isomerase activity
GO:0008881	Glutamate racemase activity
GO:0008883	glutamyl-tRNA reductase activity
GO:0008887	Glycerate kinase activity
GO:0008889	Glycerophosphodiester phosphodiesterase activity
GO:0008890	Glycine C-acetyltransferase activity
GO:0008892	Guanine deaminase activity
GO:0008897	Holo-[acyl-carrier-protein] synthase activity
GO:0008898	S-adenosylmethionine-homocysteine S-methyltransferase activity
GO:0008899	Homoserine O-succinyltransferase activity
GO:0008902	Hydroxymethylpyrimidine kinase activity
GO:0008907	Integrase activity
GO:0008908	Isochorismatase activity
GO:0008909	Isochorismate synthase activity
GO:0008925	Maltose O-acetyltransferase activity
GO:0008926	mannitol-1-phosphate 5-dehydrogenase activity
GO:0008927	Mannonate dehydratase activity
GO:0008929	Methylglyoxal synthase activity
GO:0008930	Methylthioadenosine nucleosidase activity
GO:0008932	Lytic endotransglycosylase activity
GO:0008933	Lytic transglycosylase activity
GO:0008934	Inositol monophosphate 1-phosphatase activity
GO:0008935	1,4-dihydroxy-2-naphthoyl-CoA synthase activity
GO:0008937	ferredoxin-NAD(P) reductase activity
GO:0008940	Nitrate reductase activity
GO:0008941	Nitric oxide dioxygenase activity
GO:0008942	Nitrite reductase [NAD(P)H] activity
GO:0008948	Oxaloacetate decarboxylase activity
GO:0008955	Peptidoglycan glycosyltransferase activity
GO:0008959	Phosphate acetyltransferase activity
GO:0008961	Phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity
GO:0008962	Phosphatidylglycerophosphatase activity
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
GO:0008965	Phosphoenolpyruvate-protein phosphotransferase activity
GO:0008966	Phosphoglucosamine mutase activity
GO:0008967	Phosphoglycolate phosphatase activity
GO:0008972	Phosphomethylpyrimidine kinase activity
GO:0008973	Phosphopentomutase activity
GO:0008977	Prephenate dehydrogenase (NAD+) activity
GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0008983	Protein-glutamate O-methyltransferase activity
GO:0008984	Protein-glutamate methylesterase activity
GO:0008987	Quinolinate synthetase A activity
GO:0008990	rRNA (guanine-N2-)-methyltransferase activity
GO:0008993	Rhamnulokinase activity
GO:0008999	Ribosomal protein S5-alanine N-acetyltransferase activity
GO:0009001	Serine O-acetyltransferase activity
GO:0009002	Serine-type D-Ala-D-Ala carboxypeptidase activity
GO:0009007	Site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	DNA-methyltransferase activity
GO:0009009	Site-specific recombinase activity
GO:0009011	Starch synthase activity
GO:0009013	Succinate-semialdehyde dehydrogenase [NAD(P)+] activity
GO:0009019	tRNA (guanine-N1-)-methyltransferase activity
GO:0009022	tRNA nucleotidyltransferase activity
GO:0009026	Tagaturonate reductase activity
GO:0009027	Tartrate dehydrogenase activity
GO:0009030	Thiamine-phosphate kinase activity
GO:0009032	Thymidine phosphorylase activity
GO:0009036	Type II site-specific deoxyribonuclease activity
GO:0009037	Tyrosine-based site-specific recombinase activity
GO:0009038	Undecaprenol kinase activity
GO:0009039	Urease activity
GO:0009041	Uridylate kinase activity
GO:0009044	Xylan 1,4-beta-xylosidase activity
GO:0009045	Xylose isomerase activity
GO:0009051	Pentose-phosphate shunt, oxidative branch
GO:0009052	Pentose-phosphate shunt, non-oxidative branch
GO:0009055	Electron transfer activity
GO:0009056	Catabolic process
GO:0009057	Macromolecule catabolic process
GO:0009058	Biosynthetic process
GO:0009059	Macromolecule biosynthetic process
GO:0009060	Aerobic respiration
GO:0009061	Anaerobic respiration
GO:0009062	Fatty acid catabolic process
GO:0009063	Cellular amino acid catabolic process
GO:0009064	Glutamine family amino acid metabolic process
GO:0009065	Glutamine family amino acid catabolic process
GO:0009066	Aspartate family amino acid metabolic process
GO:0009067	Aspartate family amino acid biosynthetic process
GO:0009068	Aspartate family amino acid catabolic process
GO:0009069	Serine family amino acid metabolic process
GO:0009070	Serine family amino acid biosynthetic process
GO:0009071	Serine family amino acid catabolic process
GO:0009072	Aromatic amino acid family metabolic process
GO:0009073	Aromatic amino acid family biosynthetic process
GO:0009078	Pyruvate family amino acid metabolic process
GO:0009079	Pyruvate family amino acid biosynthetic process
GO:0009080	Pyruvate family amino acid catabolic process
GO:0009081	Branched-chain amino acid metabolic process
GO:0009082	Branched-chain amino acid biosynthetic process
GO:0009083	Branched-chain amino acid catabolic process
GO:0009084	Glutamine family amino acid biosynthetic process
GO:0009085	Lysine biosynthetic process
GO:0009086	Methionine biosynthetic process
GO:0009087	Methionine catabolic process
GO:0009088	Threonine biosynthetic process
GO:0009089	Lysine biosynthetic process via diaminopimelate
GO:0009090	Homoserine biosynthetic process
GO:0009092	Homoserine metabolic process
GO:0009094	L-phenylalanine biosynthetic process
GO:0009095	Aromatic amino acid family biosynthetic process, prephenate pathway
GO:0009097	Isoleucine biosynthetic process
GO:0009098	Leucine biosynthetic process
GO:0009099	Valine biosynthetic process
GO:0009100	Glycoprotein metabolic process
GO:0009101	Glycoprotein biosynthetic process
GO:0009102	Biotin biosynthetic process
GO:0009103	Lipopolysaccharide biosynthetic process
GO:0009106	Lipoate metabolic process
GO:0009107	Lipoate biosynthetic process
GO:0009110	Vitamin biosynthetic process
GO:0009111	Vitamin catabolic process
GO:0009112	Nucleobase metabolic process
GO:0009113	Purine nucleobase biosynthetic process
GO:0009114	Hypoxanthine catabolic process
GO:0009116	Nucleoside metabolic process
GO:0009117	Nucleotide metabolic process
GO:0009119	Ribonucleoside metabolic process
GO:0009120	Deoxyribonucleoside metabolic process
GO:0009123	Nucleoside monophosphate metabolic process
GO:0009124	Nucleoside monophosphate biosynthetic process
GO:0009126	Purine nucleoside monophosphate metabolic process
GO:0009127	Purine nucleoside monophosphate biosynthetic process
GO:0009129	Pyrimidine nucleoside monophosphate metabolic process
GO:0009130	Pyrimidine nucleoside monophosphate biosynthetic process
GO:0009132	Nucleoside diphosphate metabolic process
GO:0009133	Nucleoside diphosphate biosynthetic process
GO:0009135	Purine nucleoside diphosphate metabolic process
GO:0009138	Pyrimidine nucleoside diphosphate metabolic process
GO:0009139	Pyrimidine nucleoside diphosphate biosynthetic process
GO:0009141	Nucleoside triphosphate metabolic process
GO:0009142	Nucleoside triphosphate biosynthetic process
GO:0009143	Nucleoside triphosphate catabolic process
GO:0009144	Purine nucleoside triphosphate metabolic process
GO:0009145	Purine nucleoside triphosphate biosynthetic process
GO:0009146	Purine nucleoside triphosphate catabolic process
GO:0009147	Pyrimidine nucleoside triphosphate metabolic process
GO:0009148	Pyrimidine nucleoside triphosphate biosynthetic process
GO:0009149	Pyrimidine nucleoside triphosphate catabolic process
GO:0009150	Purine ribonucleotide metabolic process
GO:0009151	Purine deoxyribonucleotide metabolic process
GO:0009152	Purine ribonucleotide biosynthetic process
GO:0009153	Purine deoxyribonucleotide biosynthetic process
GO:0009155	Purine deoxyribonucleotide catabolic process
GO:0009156	Ribonucleoside monophosphate biosynthetic process
GO:0009157	Deoxyribonucleoside monophosphate biosynthetic process
GO:0009161	Ribonucleoside monophosphate metabolic process
GO:0009162	Deoxyribonucleoside monophosphate metabolic process
GO:0009163	Nucleoside biosynthetic process
GO:0009164	Nucleoside catabolic process
GO:0009165	Nucleotide biosynthetic process
GO:0009166	Nucleotide catabolic process
GO:0009167	Purine ribonucleoside monophosphate metabolic process
GO:0009168	Purine ribonucleoside monophosphate biosynthetic process
GO:0009170	Purine deoxyribonucleoside monophosphate metabolic process
GO:0009171	Purine deoxyribonucleoside monophosphate biosynthetic process
GO:0009173	Pyrimidine ribonucleoside monophosphate metabolic process
GO:0009174	Pyrimidine ribonucleoside monophosphate biosynthetic process
GO:0009176	Pyrimidine deoxyribonucleoside monophosphate metabolic process
GO:0009177	Pyrimidine deoxyribonucleoside monophosphate biosynthetic process
GO:0009179	Purine ribonucleoside diphosphate metabolic process
GO:0009185	Ribonucleoside diphosphate metabolic process
GO:0009186	Deoxyribonucleoside diphosphate metabolic process
GO:0009187	Cyclic nucleotide metabolic process
GO:0009188	Ribonucleoside diphosphate biosynthetic process
GO:0009189	Deoxyribonucleoside diphosphate biosynthetic process
GO:0009190	Cyclic nucleotide biosynthetic process
GO:0009193	Pyrimidine ribonucleoside diphosphate metabolic process
GO:0009194	Pyrimidine ribonucleoside diphosphate biosynthetic process
GO:0009196	Pyrimidine deoxyribonucleoside diphosphate metabolic process
GO:0009197	Pyrimidine deoxyribonucleoside diphosphate biosynthetic process
GO:0009199	Ribonucleoside triphosphate metabolic process
GO:0009200	Deoxyribonucleoside triphosphate metabolic process
GO:0009201	Ribonucleoside triphosphate biosynthetic process
GO:0009202	Deoxyribonucleoside triphosphate biosynthetic process
GO:0009203	Ribonucleoside triphosphate catabolic process
GO:0009204	Deoxyribonucleoside triphosphate catabolic process
GO:0009205	Purine ribonucleoside triphosphate metabolic process
GO:0009206	Purine ribonucleoside triphosphate biosynthetic process
GO:0009208	Pyrimidine ribonucleoside triphosphate metabolic process
GO:0009209	Pyrimidine ribonucleoside triphosphate biosynthetic process
GO:0009210	Pyrimidine ribonucleoside triphosphate catabolic process
GO:0009211	Pyrimidine deoxyribonucleoside triphosphate metabolic process
GO:0009212	Pyrimidine deoxyribonucleoside triphosphate biosynthetic process
GO:0009213	Pyrimidine deoxyribonucleoside triphosphate catabolic process
GO:0009215	Purine deoxyribonucleoside triphosphate metabolic process
GO:0009217	Purine deoxyribonucleoside triphosphate catabolic process
GO:0009218	Pyrimidine ribonucleotide metabolic process
GO:0009219	Pyrimidine deoxyribonucleotide metabolic process
GO:0009220	Pyrimidine ribonucleotide biosynthetic process
GO:0009221	Pyrimidine deoxyribonucleotide biosynthetic process
GO:0009222	Pyrimidine ribonucleotide catabolic process
GO:0009223	Pyrimidine deoxyribonucleotide catabolic process
GO:0009225	Nucleotide-sugar metabolic process
GO:0009226	Nucleotide-sugar biosynthetic process
GO:0009228	Thiamine biosynthetic process
GO:0009229	Thiamine diphosphate biosynthetic process
GO:0009231	Riboflavin biosynthetic process
GO:0009233	Menaquinone metabolic process
GO:0009234	Menaquinone biosynthetic process
GO:0009235	Cobalamin metabolic process
GO:0009236	Cobalamin biosynthetic process
GO:0009237	Siderophore metabolic process
GO:0009240	Isopentenyl diphosphate biosynthetic process
GO:0009245	Lipid A biosynthetic process
GO:0009246	Enterobacterial common antigen biosynthetic process
GO:0009247	Glycolipid biosynthetic process
GO:0009249	Protein lipoylation
GO:0009250	Glucan biosynthetic process
GO:0009251	Glucan catabolic process
GO:0009252	Peptidoglycan biosynthetic process
GO:0009253	Peptidoglycan catabolic process
GO:0009254	Peptidoglycan turnover
GO:0009259	Ribonucleotide metabolic process
GO:0009260	Ribonucleotide biosynthetic process
GO:0009261	Ribonucleotide catabolic process
GO:0009262	Deoxyribonucleotide metabolic process
GO:0009263	Deoxyribonucleotide biosynthetic process
GO:0009264	Deoxyribonucleotide catabolic process
GO:0009265	2-deoxyribonucleotide biosynthetic process
GO:0009266	Response to temperature stimulus
GO:0009267	Cellular response to starvation
GO:0009273	Peptidoglycan-based cell wall biogenesis
GO:0009279	Cell outer membrane
GO:0009288	Bacterial-type flagellum
GO:0009291	Unidirectional conjugation
GO:0009292	Horizontal gene transfer
GO:0009294	DNA-mediated transformation
GO:0009295	Nucleoid
GO:0009306	Protein secretion
GO:0009307	DNA restriction-modification system
GO:0009308	Amine metabolic process
GO:0009309	Amine biosynthetic process
GO:0009310	Amine catabolic process
GO:0009311	Oligosaccharide metabolic process
GO:0009312	Oligosaccharide biosynthetic process
GO:0009313	Oligosaccharide catabolic process
GO:0009314	Response to radiation
GO:0009316	3-isopropylmalate dehydratase complex
GO:0009317	acetyl-CoA carboxylase complex
GO:0009318	Exodeoxyribonuclease VII complex
GO:0009319	Cytochrome o ubiquinol oxidase complex
GO:0009325	Nitrate reductase complex
GO:0009326	Formate dehydrogenase complex
GO:0009328	phenylalanine-tRNA ligase complex
GO:0009330	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex
GO:0009331	glycerol-3-phosphate dehydrogenase complex
GO:0009337	Sulfite reductase complex (NADPH)
GO:0009338	Exodeoxyribonuclease V complex
GO:0009339	Glycolate oxidase complex
GO:0009341	Beta-galactosidase complex
GO:0009349	Riboflavin synthase complex
GO:0009360	DNA polymerase III complex
GO:0009361	succinate-CoA ligase complex (ADP-forming)
GO:0009368	Endopeptidase Clp complex
GO:0009372	Quorum sensing
GO:0009376	HslUV protease complex
GO:0009378	Four-way junction helicase activity
GO:0009379	Holliday junction helicase complex
GO:0009380	Excinuclease repair complex
GO:0009381	Excinuclease ABC activity
GO:0009383	rRNA (cytosine-C5-)-methyltransferase activity
GO:0009394	2-deoxyribonucleotide metabolic process
GO:0009396	Folic acid-containing compound biosynthetic process
GO:0009398	FMN biosynthetic process
GO:0009399	Nitrogen fixation
GO:0009401	Phosphoenolpyruvate-dependent sugar phosphotransferase system
GO:0009403	Toxin biosynthetic process
GO:0009404	Toxin metabolic process
GO:0009408	Response to heat
GO:0009409	Response to cold
GO:0009410	Response to xenobiotic stimulus
GO:0009411	Response to UV
GO:0009416	Response to light stimulus
GO:0009420	Bacterial-type flagellum filament
GO:0009421	Bacterial-type flagellum filament cap
GO:0009423	Chorismate biosynthetic process
GO:0009424	Bacterial-type flagellum hook
GO:0009425	Bacterial-type flagellum basal body
GO:0009431	Bacterial-type flagellum basal body, MS ring
GO:0009432	SOS response
GO:0009435	NAD biosynthetic process
GO:0009438	Methylglyoxal metabolic process
GO:0009445	Putrescine metabolic process
GO:0009446	Putrescine biosynthetic process
GO:0009448	Gamma-aminobutyric acid metabolic process
GO:0009450	Gamma-aminobutyric acid catabolic process
GO:0009451	RNA modification
GO:0009453	Energy taxis
GO:0009454	Aerotaxis
GO:0009486	Cytochrome bo3 ubiquinol oxidase activity
GO:0009595	Detection of biotic stimulus
GO:0009605	Response to external stimulus
GO:0009607	Response to biotic stimulus
GO:0009615	Response to virus
GO:0009617	Response to bacterium
GO:0009628	Response to abiotic stimulus
GO:0009635	Response to herbicide
GO:0009636	Response to toxic substance
GO:0009653	Anatomical structure morphogenesis
GO:0009678	Pyrophosphate hydrolysis-driven proton transmembrane transporter activity
GO:0009690	Cytokinin metabolic process
GO:0009691	Cytokinin biosynthetic process
GO:0009696	Salicylic acid metabolic process
GO:0009697	Salicylic acid biosynthetic process
GO:0009712	Catechol-containing compound metabolic process
GO:0009713	Catechol-containing compound biosynthetic process
GO:0009719	Response to endogenous stimulus
GO:0009743	Response to carbohydrate
GO:0009746	Response to hexose
GO:0009749	Response to glucose
GO:0009758	Carbohydrate utilization
GO:0009847	Spore germination
GO:0009881	Photoreceptor activity
GO:0009889	Regulation of biosynthetic process
GO:0009890	Negative regulation of biosynthetic process
GO:0009891	Positive regulation of biosynthetic process
GO:0009892	Negative regulation of metabolic process
GO:0009893	Positive regulation of metabolic process
GO:0009894	Regulation of catabolic process
GO:0009896	Positive regulation of catabolic process
GO:0009898	Cytoplasmic side of plasma membrane
GO:0009927	Histidine phosphotransfer kinase activity
GO:0009966	Regulation of signal transduction
GO:0009972	Cytidine deamination
GO:0009975	Cyclase activity
GO:0009977	Proton motive force dependent protein transmembrane transporter activity
GO:0009982	Pseudouridine synthase activity
GO:0009986	Cell surface
GO:0009987	Cellular process
GO:0009991	Response to extracellular stimulus
GO:0009992	Cellular water homeostasis
GO:0010033	Response to organic substance
GO:0010034	Response to acetate
GO:0010035	Response to inorganic substance
GO:0010038	Response to metal ion
GO:0010039	Response to iron ion
GO:0010043	Response to zinc ion
GO:0010124	Phenylacetate catabolic process
GO:0010133	Proline catabolic process to glutamate
GO:0010138	Pyrimidine ribonucleotide salvage
GO:0010142	Farnesyl diphosphate biosynthetic process, mevalonate pathway
GO:0010181	FMN binding
GO:0010243	Response to organonitrogen compound
GO:0010288	Response to lead ion
GO:0010308	Acireductone dioxygenase (Ni2+-requiring) activity
GO:0010309	Acireductone dioxygenase [iron(II)-requiring] activity
GO:0010340	carboxyl-O-methyltransferase activity
GO:0010383	Cell wall polysaccharide metabolic process
GO:0010393	Galacturonan metabolic process
GO:0010410	Hemicellulose metabolic process
GO:0010466	Negative regulation of peptidase activity
GO:0010467	Gene expression
GO:0010468	Regulation of gene expression
GO:0010501	RNA secondary structure unwinding
GO:0010556	Regulation of macromolecule biosynthetic process
GO:0010557	Positive regulation of macromolecule biosynthetic process
GO:0010558	Negative regulation of macromolecule biosynthetic process
GO:0010562	Positive regulation of phosphorus metabolic process
GO:0010564	Regulation of cell cycle process
GO:0010565	Regulation of cellular ketone metabolic process
GO:0010604	Positive regulation of macromolecule metabolic process
GO:0010605	Negative regulation of macromolecule metabolic process
GO:0010608	Post-transcriptional regulation of gene expression
GO:0010628	Positive regulation of gene expression
GO:0010629	Negative regulation of gene expression
GO:0010638	Positive regulation of organelle organization
GO:0010646	Regulation of cell communication
GO:0010648	Negative regulation of cell communication
GO:0010738	Regulation of protein kinase A signaling
GO:0010817	Regulation of hormone levels
GO:0010876	Lipid localization
GO:0010927	Cellular component assembly involved in morphogenesis
GO:0010951	Negative regulation of endopeptidase activity
GO:0012501	Programmed cell death
GO:0015031	Protein transport
GO:0015035	Protein-disulfide reductase activity
GO:0015036	Disulfide oxidoreductase activity
GO:0015074	DNA integration
GO:0015075	Ion transmembrane transporter activity
GO:0015078	Proton transmembrane transporter activity
GO:0015079	Potassium ion transmembrane transporter activity
GO:0015081	Sodium ion transmembrane transporter activity
GO:0015085	Calcium ion transmembrane transporter activity
GO:0015086	Cadmium ion transmembrane transporter activity
GO:0015087	Cobalt ion transmembrane transporter activity
GO:0015093	Ferrous iron transmembrane transporter activity
GO:0015095	Magnesium ion transmembrane transporter activity
GO:0015098	Molybdate ion transmembrane transporter activity
GO:0015101	Organic cation transmembrane transporter activity
GO:0015103	Inorganic anion transmembrane transporter activity
GO:0015104	Antimonite transmembrane transporter activity
GO:0015105	Arsenite transmembrane transporter activity
GO:0015108	Chloride transmembrane transporter activity
GO:0015109	Chromate transmembrane transporter activity
GO:0015112	Nitrate transmembrane transporter activity
GO:0015113	Nitrite transmembrane transporter activity
GO:0015114	Phosphate ion transmembrane transporter activity
GO:0015116	Sulfate transmembrane transporter activity
GO:0015119	Hexose phosphate transmembrane transporter activity
GO:0015123	Acetate transmembrane transporter activity
GO:0015128	Gluconate transmembrane transporter activity
GO:0015129	Lactate transmembrane transporter activity
GO:0015137	Citrate transmembrane transporter activity
GO:0015138	Fumarate transmembrane transporter activity
GO:0015140	Malate transmembrane transporter activity
GO:0015141	Succinate transmembrane transporter activity
GO:0015142	Tricarboxylic acid transmembrane transporter activity
GO:0015144	Carbohydrate transmembrane transporter activity
GO:0015145	Monosaccharide transmembrane transporter activity
GO:0015146	Pentose transmembrane transporter activity
GO:0015149	Hexose transmembrane transporter activity
GO:0015152	glucose-6-phosphate transmembrane transporter activity
GO:0015154	Disaccharide transmembrane transporter activity
GO:0015155	Lactose transmembrane transporter activity
GO:0015157	Oligosaccharide transmembrane transporter activity
GO:0015166	Polyol transmembrane transporter activity
GO:0015168	Glycerol transmembrane transporter activity
GO:0015169	glycerol-3-phosphate transmembrane transporter activity
GO:0015171	Amino acid transmembrane transporter activity
GO:0015172	Acidic amino acid transmembrane transporter activity
GO:0015175	Neutral amino acid transmembrane transporter activity
GO:0015179	L-amino acid transmembrane transporter activity
GO:0015183	L-aspartate transmembrane transporter activity
GO:0015184	L-cystine transmembrane transporter activity
GO:0015185	Gamma-aminobutyric acid transmembrane transporter activity
GO:0015188	L-isoleucine transmembrane transporter activity
GO:0015190	L-leucine transmembrane transporter activity
GO:0015193	L-proline transmembrane transporter activity
GO:0015205	Nucleobase transmembrane transporter activity
GO:0015225	Biotin transmembrane transporter activity
GO:0015226	Carnitine transmembrane transporter activity
GO:0015234	Thiamine transmembrane transporter activity
GO:0015252	Proton channel activity
GO:0015254	Glycerol channel activity
GO:0015267	Channel activity
GO:0015276	Ligand-gated ion channel activity
GO:0015291	Secondary active transmembrane transporter activity
GO:0015293	Symporter activity
GO:0015294	Solute:cation symporter activity
GO:0015295	Solute:proton symporter activity
GO:0015296	Anion:cation symporter activity
GO:0015297	Antiporter activity
GO:0015298	Solute:cation antiporter activity
GO:0015299	Solute:proton antiporter activity
GO:0015301	Anion:anion antiporter activity
GO:0015315	Organophosphate:inorganic phosphate antiporter activity
GO:0015318	Inorganic molecular entity transmembrane transporter activity
GO:0015355	Secondary active monocarboxylate transmembrane transporter activity
GO:0015366	Malate:proton symporter activity
GO:0015368	Calcium:cation antiporter activity
GO:0015369	Calcium:proton antiporter activity
GO:0015370	Solute:sodium symporter activity
GO:0015377	Cation:chloride symporter activity
GO:0015379	Potassium:chloride symporter activity
GO:0015385	Sodium:proton antiporter activity
GO:0015386	Potassium:proton antiporter activity
GO:0015399	Primary active transmembrane transporter activity
GO:0015407	ABC-type monosaccharide transporter activity
GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity
GO:0015418	ABC-type quaternary ammonium compound transporting activity
GO:0015419	ABC-type sulfate transporter activity
GO:0015422	ABC-type oligosaccharide transporter activity
GO:0015423	ABC-type maltose transporter activity
GO:0015424	ABC-type amino acid transporter activity
GO:0015438	ABC-type teichoic acid transporter activity
GO:0015450	Protein-transporting ATPase activity
GO:0015453	Oxidoreduction-driven active transmembrane transporter activity
GO:0015462	ABC-type protein transporter activity
GO:0015491	Cation:cation antiporter activity
GO:0015499	Formate transmembrane transporter activity
GO:0015526	Hexose-phosphate:inorganic phosphate antiporter activity
GO:0015528	Lactose:proton symporter activity
GO:0015531	Citrate:proton symporter activity
GO:0015556	C4-dicarboxylate transmembrane transporter activity
GO:0015572	N-acetylglucosamine transmembrane transporter activity
GO:0015574	Trehalose transmembrane transporter activity
GO:0015575	Mannitol transmembrane transporter activity
GO:0015591	D-ribose transmembrane transporter activity
GO:0015603	Iron chelate transmembrane transporter activity
GO:0015605	Organophosphate ester transmembrane transporter activity
GO:0015611	ABC-type D-ribose transporter activity
GO:0015616	DNA translocase activity
GO:0015625	ABC-type ferric hydroxamate transporter activity
GO:0015627	Type II protein secretion system complex
GO:0015628	Protein secretion by the type II secretion system
GO:0015633	ABC-type zinc transporter activity
GO:0015645	Fatty acid ligase activity
GO:0015647	Peptidoglycan transmembrane transporter activity
GO:0015648	Lipid-linked peptidoglycan transporter activity
GO:0015649	2-keto-3-deoxygluconate:proton symporter activity
GO:0015651	Quaternary ammonium group transmembrane transporter activity
GO:0015655	Alanine:sodium symporter activity
GO:0015658	Branched-chain amino acid transmembrane transporter activity
GO:0015662	P-type ion transporter activity
