IDpg10	IDbsub	BiolProc	MolFun	CellComp
ANY34056.1	BSU01360	GO:0006605 GO:0006612 GO:0006613 GO:0006614 GO:0006616 GO:0006810 GO:0006886 GO:0008104 GO:0009987 GO:0015031 GO:0033036 GO:0033365 GO:0043952 GO:0045047 GO:0045184 GO:0046907 GO:0051179 GO:0051234 GO:0051641 GO:0051649 GO:0051668 GO:0055085 GO:0065002 GO:0070727 GO:0070972 GO:0071702 GO:0071705 GO:0071806 GO:0072594 GO:0072599 GO:0072657 GO:0090150	GO:0005048 GO:0005215 GO:0005488 GO:0008320 GO:0022857 GO:0022884 GO:0033218 GO:0042277 GO:0140318	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0031522 GO:0032991 GO:0045121 GO:0071944 GO:0098857 GO:0110165
ANY34057.1	BSU01370	GO:0006139 GO:0006163 GO:0006164 GO:0006167 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009126 GO:0009127 GO:0009132 GO:0009150 GO:0009152 GO:0009156 GO:0009161 GO:0009165 GO:0009167 GO:0009168 GO:0009259 GO:0009260 GO:0009987 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0032261 GO:0034641 GO:0034654 GO:0043094 GO:0043101 GO:0043173 GO:0044209 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046033 GO:0046390 GO:0046483 GO:0046940 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:0106380 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004017 GO:0004550 GO:0005488 GO:0005524 GO:0008270 GO:0016301 GO:0016740 GO:0016772 GO:0016776 GO:0017076 GO:0019205 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0046914 GO:0050145 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY34058.1	BSU01380	GO:0006508 GO:0006807 GO:0008152 GO:0019538 GO:0036211 GO:0043170 GO:0043412 GO:0044238 GO:0070084 GO:0071704 GO:1901564	GO:0003824 GO:0004177 GO:0005488 GO:0008233 GO:0008235 GO:0008237 GO:0008238 GO:0016787 GO:0043167 GO:0043169 GO:0046872 GO:0046914 GO:0070006 GO:0140096	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY34059.1	BSU01389			
ANY34060.1	BSU01390	GO:0006412 GO:0006413 GO:0006417 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009889 GO:0009987 GO:0010467 GO:0010468 GO:0010556 GO:0010608 GO:0019222 GO:0019538 GO:0031323 GO:0031326 GO:0034248 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0050789 GO:0050794 GO:0051171 GO:0051246 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:1901564 GO:1901566 GO:1901576 GO:2000112	GO:0003676 GO:0003723 GO:0003743 GO:0005488 GO:0008135 GO:0019843 GO:0043021 GO:0043022 GO:0044877 GO:0045182 GO:0090079 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY34061.1	BSU01400	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003735 GO:0005198	GO:0005622 GO:0005840 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0110165
ANY34062.1	BSU01410	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0003676 GO:0003723 GO:0003735 GO:0005198 GO:0005488 GO:0019843 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015935 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY34063.1	BSU01420	GO:0000028 GO:0000462 GO:0006139 GO:0006364 GO:0006396 GO:0006412 GO:0006518 GO:0006725 GO:0006807 GO:0006996 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016043 GO:0016070 GO:0016072 GO:0019538 GO:0022607 GO:0022613 GO:0022618 GO:0030490 GO:0034470 GO:0034641 GO:0034645 GO:0034660 GO:0042254 GO:0042255 GO:0042274 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0043933 GO:0044085 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0065003 GO:0070925 GO:0071704 GO:0071826 GO:0071840 GO:0090304 GO:0140694 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0003676 GO:0003723 GO:0003729 GO:0003735 GO:0005198 GO:0005488 GO:0019843 GO:0048027 GO:0070181 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015935 GO:0022626 GO:0022627 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY34064.1	BSU01430	GO:0006139 GO:0006351 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0018130 GO:0019438 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0046483 GO:0071704 GO:0090304 GO:0097659 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003677 GO:0003824 GO:0003899 GO:0005488 GO:0005515 GO:0016740 GO:0016772 GO:0016779 GO:0034062 GO:0046983 GO:0097159 GO:0097747 GO:0140098 GO:0140640 GO:1901363	GO:0000428 GO:0005622 GO:0005737 GO:0030880 GO:0032991 GO:0061695 GO:0110165 GO:0140535 GO:1902494 GO:1990234
ANY34065.1	BSU01440	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003735 GO:0005198	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015934 GO:0022625 GO:0022626 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY34066.1	BSU01450	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0000166 GO:0005215 GO:0005488 GO:0005524 GO:0015399 GO:0017076 GO:0022804 GO:0022857 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0042626 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140657 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0032991 GO:0043190 GO:0071944 GO:0098533 GO:0098796 GO:0098797 GO:0110165 GO:1902495 GO:1990351
ANY34067.1	BSU01460	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0000166 GO:0005215 GO:0005488 GO:0005524 GO:0015399 GO:0017076 GO:0022804 GO:0022857 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0042626 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140657 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0032991 GO:0043190 GO:0071944 GO:0098533 GO:0098796 GO:0098797 GO:0110165 GO:1902495 GO:1990351
ANY34068.1	BSU01470	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34069.1	BSU01480	GO:0001522 GO:0006139 GO:0006396 GO:0006399 GO:0006400 GO:0006725 GO:0006807 GO:0008033 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0031119 GO:0034470 GO:0034641 GO:0034660 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0003676 GO:0003723 GO:0003824 GO:0005488 GO:0009982 GO:0016853 GO:0016866 GO:0097159 GO:0106029 GO:0140098 GO:0140101 GO:0140640 GO:1901363	
ANY34070.1	BSU01490	GO:0006412 GO:0006417 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009889 GO:0009890 GO:0009892 GO:0009987 GO:0010467 GO:0010468 GO:0010556 GO:0010558 GO:0010605 GO:0010608 GO:0010629 GO:0017148 GO:0019222 GO:0019538 GO:0031323 GO:0031324 GO:0031326 GO:0031327 GO:0034248 GO:0034249 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0048519 GO:0048523 GO:0050789 GO:0050794 GO:0051171 GO:0051172 GO:0051246 GO:0051248 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:1901564 GO:1901566 GO:1901576 GO:2000112 GO:2000113	GO:0003676 GO:0003723 GO:0003729 GO:0003735 GO:0005198 GO:0005488 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015934 GO:0022625 GO:0022626 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY34071.1	BSU01500	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003676 GO:0003723 GO:0003735 GO:0005198 GO:0005488 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015935 GO:0022626 GO:0022627 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY34072.1	BSU01510	GO:0008152 GO:0032259	GO:0003824 GO:0008168 GO:0016740 GO:0016741	
ANY34073.1	BSU01520			
ANY34074.1	BSU01530	GO:0000270 GO:0006022 GO:0006026 GO:0006027 GO:0006807 GO:0008152 GO:0009056 GO:0009057 GO:0009253 GO:0009987 GO:0016043 GO:0030203 GO:0043170 GO:0045229 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:1901135 GO:1901136 GO:1901564 GO:1901565 GO:1901575	GO:0003824 GO:0008745 GO:0016787 GO:0016810 GO:0016811 GO:0061783	GO:0005576 GO:0110165
ANY34075.1	BSU01540	GO:0006355 GO:0006790 GO:0008152 GO:0009889 GO:0009890 GO:0009892 GO:0009987 GO:0010468 GO:0010556 GO:0010558 GO:0010605 GO:0016043 GO:0016226 GO:0019219 GO:0019222 GO:0022607 GO:0031163 GO:0031323 GO:0031324 GO:0031326 GO:0031327 GO:0044085 GO:0044237 GO:0045892 GO:0045934 GO:0048519 GO:0048523 GO:0050789 GO:0050794 GO:0051171 GO:0051172 GO:0051252 GO:0051253 GO:0060255 GO:0065007 GO:0071840 GO:0080090 GO:1902679 GO:1903506 GO:1903507 GO:2001141	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016462 GO:0016530 GO:0016787 GO:0016817 GO:0016818 GO:0016887 GO:0017076 GO:0017111 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0051536 GO:0051539 GO:0051540 GO:0097159 GO:0097367 GO:0140104 GO:0140657 GO:0140663 GO:1901265 GO:1901363	
ANY34076.1	BSU01550			GO:0005618 GO:0005886 GO:0016020 GO:0030312 GO:0031160 GO:0071944 GO:0110165
ANY34077.1	BSU01560	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0042173 GO:0043934 GO:0043937 GO:0043938 GO:0045595 GO:0045597 GO:0045881 GO:0048518 GO:0048522 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050793 GO:0050794 GO:0051094 GO:0065007		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34078.1	BSU01570	GO:0005975 GO:0008152 GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0044238 GO:0048646 GO:0048856 GO:0048869 GO:0071704	GO:0003824 GO:0016787 GO:0016810	GO:0042763 GO:0110165
ANY34079.1	BSU22760	GO:0006629 GO:0006720 GO:0008152 GO:0008299 GO:0008610 GO:0009058 GO:0009233 GO:0009234 GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0042180 GO:0042181 GO:0043934 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0044283 GO:0048646 GO:0048856 GO:0048869 GO:0071704 GO:1901576 GO:1901661 GO:1901663	GO:0003824 GO:0004659 GO:0016740 GO:0016765 GO:0036422	
ANY34080.1	BSU01580	GO:0006810 GO:0006811 GO:0006820 GO:0008272 GO:0009987 GO:0015698 GO:0034220 GO:0051179 GO:0051234 GO:0055085 GO:0072348 GO:0098656 GO:0098660 GO:0098661 GO:1902358	GO:0005215 GO:0008271 GO:0008509 GO:0015075 GO:0015103 GO:0015116 GO:0015291 GO:0015318 GO:0022804 GO:0022853 GO:0022857 GO:1901682	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34081.1	BSU01590			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34082.1	BSU01600			
ANY34083.1	BSU01610	GO:0000041 GO:0006810 GO:0006811 GO:0006812 GO:0006826 GO:0006873 GO:0006875 GO:0006879 GO:0009987 GO:0019725 GO:0030001 GO:0030003 GO:0033212 GO:0033214 GO:0042592 GO:0046916 GO:0048878 GO:0050801 GO:0051179 GO:0051234 GO:0051641 GO:0051649 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0055082 GO:0055085 GO:0065007 GO:0065008 GO:0098657 GO:0098771 GO:1901678	GO:0005215 GO:0022857	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
ANY34084.1	BSU01620	GO:0000041 GO:0006810 GO:0006811 GO:0006812 GO:0006826 GO:0006873 GO:0006875 GO:0006879 GO:0009987 GO:0019725 GO:0030001 GO:0030003 GO:0033212 GO:0033214 GO:0042592 GO:0046916 GO:0048878 GO:0050801 GO:0051179 GO:0051234 GO:0051641 GO:0051649 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0055082 GO:0055085 GO:0065007 GO:0065008 GO:0098657 GO:0098771 GO:1901678	GO:0005215 GO:0022857	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0045121 GO:0071944 GO:0098857 GO:0110165
ANY34085.1	BSU01630	GO:0006810 GO:0006811 GO:0042592 GO:0048878 GO:0050801 GO:0051179 GO:0051234 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0065007 GO:0065008 GO:0098771		GO:0005622 GO:0005737 GO:0005886 GO:0016020 GO:0030288 GO:0030313 GO:0031975 GO:0042597 GO:0045121 GO:0071944 GO:0098857 GO:0110165
ANY34086.1	BSU01640	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0043565 GO:0097159 GO:0140110 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY34087.1	BSU01650		GO:0003824 GO:0004553 GO:0016787 GO:0016798 GO:0033922	
ANY34088.1	BSU01660	GO:0000270 GO:0005975 GO:0006022 GO:0006023 GO:0006024 GO:0006807 GO:0008152 GO:0008360 GO:0009058 GO:0009059 GO:0009252 GO:0009254 GO:0009273 GO:0009987 GO:0016043 GO:0022603 GO:0022604 GO:0030203 GO:0034645 GO:0042546 GO:0043170 GO:0044036 GO:0044038 GO:0044085 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0045229 GO:0050789 GO:0050793 GO:0065007 GO:0070589 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:1901135 GO:1901137 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004553 GO:0004563 GO:0015929 GO:0016787 GO:0016798 GO:0102148	GO:0005576 GO:0005886 GO:0016020 GO:0071944 GO:0110165
ANY34089.1	BSU01670	GO:0000270 GO:0006022 GO:0006807 GO:0008152 GO:0009254 GO:0009987 GO:0016043 GO:0030203 GO:0043170 GO:0045229 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:1901135 GO:1901564	GO:0003824 GO:0008745 GO:0016787 GO:0016810 GO:0016811 GO:0061783	
ANY34090.1	BSU01680	GO:0006793 GO:0006796 GO:0006810 GO:0008152 GO:0008643 GO:0009401 GO:0009987 GO:0016310 GO:0034219 GO:0044237 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0098657 GO:0098704 GO:0098739	GO:0003824 GO:0005215 GO:0008982 GO:0015144 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0022804 GO:0022857 GO:0090563 GO:0090588	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34091.1	BSU01690	GO:0006355 GO:0008152 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:1901135 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0097159 GO:0097367 GO:0140110 GO:1901363	
ANY34092.1	BSU01700	GO:0000270 GO:0005975 GO:0006022 GO:0006040 GO:0006082 GO:0006807 GO:0008152 GO:0009056 GO:0009254 GO:0009987 GO:0016054 GO:0019752 GO:0030203 GO:0043170 GO:0043436 GO:0044237 GO:0044238 GO:0044248 GO:0044281 GO:0044282 GO:0046348 GO:0046395 GO:0071704 GO:0097172 GO:0097173 GO:1901135 GO:1901136 GO:1901564 GO:1901575	GO:0003824 GO:0005488 GO:0016787 GO:0016801 GO:0016803 GO:0016829 GO:0016835 GO:0097367	
ANY34093.1	BSU01710		GO:0003824 GO:0008080 GO:0016407 GO:0016410 GO:0016740 GO:0016746 GO:0016747	
ANY34094.1	BSU01720			
ANY34095.1	BSU01730	GO:0006139 GO:0006351 GO:0006352 GO:0006355 GO:0006725 GO:0006807 GO:0006950 GO:0008152 GO:0009058 GO:0009059 GO:0009889 GO:0009987 GO:0010467 GO:0010468 GO:0010556 GO:0016070 GO:0018130 GO:0019219 GO:0019222 GO:0019438 GO:0031323 GO:0031326 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0046483 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:0090304 GO:0097659 GO:1901360 GO:1901362 GO:1901576 GO:1903506 GO:2000142 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0016987 GO:0097159 GO:0140110 GO:1901363	
ANY34096.1	BSU01740		GO:0005488 GO:0043167 GO:0043169 GO:0046872	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34097.1	BSU01750	GO:0006139 GO:0006163 GO:0006164 GO:0006171 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0007154 GO:0007165 GO:0008152 GO:0009058 GO:0009117 GO:0009150 GO:0009152 GO:0009165 GO:0009187 GO:0009190 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019932 GO:0023052 GO:0034641 GO:0034654 GO:0035556 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046058 GO:0046390 GO:0046483 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0052652 GO:0055086 GO:0065007 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004016 GO:0005488 GO:0005524 GO:0009975 GO:0016740 GO:0016772 GO:0016779 GO:0016829 GO:0016849 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0106408 GO:1901265 GO:1901363	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
ANY34098.1	BSU01760	GO:0031279 GO:0031281 GO:0043085 GO:0044093 GO:0045761 GO:0045762 GO:0050790 GO:0051339 GO:0051349 GO:0065007 GO:0065009		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34099.1	BSU01770	GO:0000270 GO:0005975 GO:0006022 GO:0006023 GO:0006024 GO:0006040 GO:0006047 GO:0006048 GO:0006139 GO:0006725 GO:0006793 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009225 GO:0009226 GO:0009252 GO:0009273 GO:0009987 GO:0018130 GO:0019438 GO:0030203 GO:0034641 GO:0034645 GO:0034654 GO:0042546 GO:0043170 GO:0044036 GO:0044038 GO:0044085 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046349 GO:0046483 GO:0055086 GO:0070589 GO:0071554 GO:0071704 GO:0071840 GO:1901135 GO:1901137 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000287 GO:0003824 GO:0004615 GO:0005488 GO:0008966 GO:0016853 GO:0016866 GO:0016868 GO:0043167 GO:0043169 GO:0046872	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY34100.1	BSU01780	GO:0005975 GO:0006002 GO:0006040 GO:0006047 GO:0006082 GO:0006139 GO:0006486 GO:0006487 GO:0006520 GO:0006541 GO:0006725 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009064 GO:0009100 GO:0009101 GO:0009225 GO:0009987 GO:0019538 GO:0019637 GO:0019752 GO:0034641 GO:0034645 GO:0036211 GO:0043170 GO:0043412 GO:0043413 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044281 GO:0046483 GO:0055086 GO:0070085 GO:0071704 GO:1901135 GO:1901137 GO:1901360 GO:1901564 GO:1901566 GO:1901576 GO:1901605	GO:0003824 GO:0004360 GO:0005488 GO:0008483 GO:0016740 GO:0016769 GO:0070548 GO:0097367	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY34101.1	BSU02130	GO:0005975 GO:0006066 GO:0006071 GO:0006629 GO:0008152 GO:0009987 GO:0019400 GO:0019751 GO:0044237 GO:0044238 GO:0044262 GO:0044281 GO:0071704 GO:1901615	GO:0003824 GO:0005488 GO:0008081 GO:0008889 GO:0016787 GO:0016788 GO:0042578 GO:0043167 GO:0043169 GO:0046872	
ANY34102.1	BSU02140	GO:0005975 GO:0006066 GO:0006071 GO:0006810 GO:0006811 GO:0006817 GO:0006820 GO:0008152 GO:0009987 GO:0015698 GO:0015711 GO:0015712 GO:0015748 GO:0015760 GO:0015794 GO:0019400 GO:0019751 GO:0034220 GO:0035435 GO:0044237 GO:0044238 GO:0044262 GO:0044281 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071704 GO:0098656 GO:0098660 GO:0098661 GO:1901264 GO:1901615	GO:0005215 GO:0008509 GO:0008514 GO:0015075 GO:0015103 GO:0015114 GO:0015119 GO:0015152 GO:0015169 GO:0015291 GO:0015297 GO:0015301 GO:0015315 GO:0015318 GO:0015526 GO:0015605 GO:0022804 GO:0022853 GO:0022857 GO:0061513 GO:0140323 GO:1901505	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34103.1	BSU02150			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34104.1	BSU02160	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0003824 GO:0005488 GO:0008080 GO:0016407 GO:0016410 GO:0016740 GO:0016746 GO:0016747 GO:0097159 GO:0140110 GO:1901363	
ANY34105.1	BSU02170	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34106.1	BSU02180			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34107.1	BSU02190			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34108.1	BSU02200			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34109.1	BSU02210			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY34110.1	BSU02220	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0043565 GO:0097159 GO:0140110 GO:1901363	
ANY34111.1	BSU02230	GO:0006139 GO:0006163 GO:0006164 GO:0006188 GO:0006189 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009126 GO:0009127 GO:0009150 GO:0009152 GO:0009156 GO:0009161 GO:0009165 GO:0009167 GO:0009168 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046040 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0000287 GO:0003824 GO:0004644 GO:0005488 GO:0005524 GO:0016740 GO:0016741 GO:0016742 GO:0016874 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0043815 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
